id	deleted_at	created_at	updated_at	version	nombre	descripcion	path	activa	turnosHabilitados	plasma	colecta	fecha_colecta	direccion_id	direccion_deleted_at	direccion_created_at	direccion_updated_at	direccion_version	direccion_lat	direccion_lng	direccion_calle	direccion_numero	direccion_piso	direccion_depto	direccion_codigo_postal	direccion_ciudad	direccion_localidad	direccion_provincia	direccion_pais	stock
24		2020-09-28T18:25:35.423Z	2026-09-24T23:32:27.000Z	5911	Hospital Carlos G. Durand	Juan B. Ambrosetti 743, Caballito, CABA. (Segundo piso, Pabellón Central) De lunes a viernes, de 8:00 a 10:30hs y sábados de 9:00 a 11:00hs.	durand	True	True	False	False		716		2020-09-28T18:25:35.419Z	2023-08-03T15:53:13.000Z	16	-34.609913	-58.43812500000001	Juan B. Ambrosetti	743			C1405BIK		Comuna 6	Buenos Aires	Argentine	27.6667
40		2020-10-30T23:28:19.284Z	2026-09-24T15:00:01.000Z	3567	"Hospital de Gastroenterología ""Dr. Carlos B Udaondo"""	Av. Caseros 2061, (acceso Pabellón B) Pabellón A- 1er piso Hemoterapia. De lunes a viernes de 8:00 a 11:30hs.	udaondo	True	True	False	False		1972		2020-10-30T23:28:19.279Z	2023-08-03T15:54:11.000Z	12	-34.634411	-58.391356	Avenida Caseros	2061			C1264AAA		Comuna 4	Buenos Aires	Argentina	85.0000
41		2020-10-30T23:44:28.202Z	2026-09-24T15:00:01.000Z	1611	Hospital General de Agudos Dr. Cosme Argerich	Pi y Margall 750 (y Av Brown), La Boca. PB consultorio 85. De lunes a viernes de 8 a 12	argerich	True	True	False	False		1974		2020-10-30T23:44:28.197Z	2023-08-03T15:54:27.000Z	19	-34.6280253	-58.3654965	Pi y Margall	750					Comuna 4	Buenos Aires	Argentina	8.0000
43		2020-11-13T17:30:30.395Z	2026-09-24T15:00:01.000Z	3030	Hospital Municipal de Quemados	Av. Pedro Goyena 369 - PB, Hemoterapia. De lunes a jueves de 8:30 a 10:30	quemados	True	True	False	False		2940		2020-11-13T17:30:30.390Z	2024-05-17T19:57:47.000Z	23	-34.6254921	-58.43222219999999	Avenida Pedro Goyena	369			C1424	BSD	Comuna 6	Buenos Aires	Argentina	10.6383
46		2020-11-28T20:03:18.189Z	2026-09-24T22:44:52.000Z	2645	Hospital Pirovano	Avenida Monroe 3555. Lunes a viernes de 8:00 a 11:40hs Concurrir con DNI y desayunado.	pirovano	True	True	False	False		4065		2020-11-28T20:03:18.184Z	2023-03-21T15:43:03.000Z	17	-34.564772	-58.47125490000001	Avenida Monroe	3555			C1430BKC		CABA	Buenos Aires	Argentina	37.5000
47		2020-11-28T20:37:51.839Z	2026-09-24T15:00:01.000Z	1517	Hospital Vélez Sarsfield	Calderón de la Barca 1550 (en P.B., patio del Vacunatorio). De Lunes a Viernes de 8:00 a 10:30hs.	velezsarsfield	True	True	False	False		4066		2020-11-28T20:37:51.834Z	2023-03-21T15:47:07.000Z	11	-34.6253397	-58.5077002	Pedro Calderón de la Barca	1550			C1407	KPL	Comuna 10	Buenos Aires	Argentina	12.5000
51		2020-12-09T04:59:04.805Z	2026-09-24T15:00:01.000Z	1631	"Hospital General de Agudos ""Abel Zubizarreta"""	Nueva York 3952, Villa Devoto. De lunes a viernes de 8 a 11	zubizarreta	True	True	False	False		4500		2020-12-09T04:59:04.791Z	2023-03-21T15:48:27.000Z	15	-34.60015179999999	-58.5108414	Nueva York	3952			C1419HDN		Comuna 11	Buenos Aires	Argentina	36.9565
54		2020-12-19T21:09:11.192Z	2026-09-24T17:11:06.000Z	4506	Hospital General de Agudos Dr. Juan A. Fernández	Avenida Cerviño 3356 (PB Sector Donantes) De lunes a viernes de 8 a 11:30.	fernandez	True	True	False	False		5055		2020-12-19T21:09:11.183Z	2024-10-29T16:32:04.000Z	10	-34.5813647	-58.4071226	Avenida Cerviño	3356			C1425		Comuna 14	Buenos Aires	Argentine	5.0000
55		2021-01-29T22:00:45.025Z	2026-09-24T15:00:01.000Z	2327	Hospital Maria Curie	Av. Patricias Argentinas 150, Caballito. Observación: la entrada para donar sangre se encuentra sobre la calle Roentgen, entre las calles Av. Patricias Argentinas. De lunes a viernes de 8.15 a 10	curie	True	True	False	False		6782		2021-01-29T22:00:45.021Z	2023-03-21T15:52:01.000Z	15	-34.6065188	-58.4330069	Roentgen	50			C1414		Comuna 6	Buenos Aires	Argentine	46.6667
84		2021-06-30T04:03:00.041Z	2026-09-24T15:00:01.000Z	2260	Hospital Dra. Cecilia Grierson	Av. General Francisco Fernández de la Cruz 4402, Villa Soldati. (Hemoterapia, Planta Baja) Lunes 13:00 a 15:30hs. Martes y miércoles de 8:30 a 11:00hs.	grierson	True	True	False	False		15467		2021-06-30T04:03:00.035Z	2024-11-22T20:40:21.000Z	9	-34.67297430000001	-58.4575777	Avenida General Francisco Fernández de la Cruz	4402				CABA	Comuna 8	Buenos Aires	Argentina	125.0000
211		2023-04-26T20:22:51.662Z	2026-09-24T19:12:04.000Z	3998	Hospital Bernardino Rivadavia	Av. Gral. Las Heras 2670, CABA Pabellón Peralta Ramos, 1.º piso. Subí por el ascensor N.º 4. De lunes a viernes de 8:30 a 11:00 hs	rivadavia	True	True	False	False		43860		2023-04-26T20:22:51.659Z	2024-04-26T19:15:58.000Z	6	-34.5850217	-58.40181690000001	Avenida General Las Heras	2670			C1425	Buenos Aires	Comuna 2	Buenos Aires	Argentina	57.5000
238		2023-11-07T19:13:07.487Z	2026-09-24T15:00:01.000Z	1900	Hospital General de Agudos Dr. Teodoro Álvarez	Aranguren 2701. De lunes a viernes de 8 a 11:30 hs. El servicio se encuentra ubicado en el pabellón central entrando por la puerta principal hacia la izquierda.	alvarez	True	True	False	False		48943		2023-11-07T19:13:07.480Z	2023-11-07T19:28:19.000Z	2	-34.62417060000001	-58.4694909	Doctor Juan Felipe Aranguren	2701			C1406	Buenos Aires	Comuna 7	Buenos Aires	Argentina	0.0000
315		2025-08-29T19:22:54.159Z	2026-09-24T22:56:03.000Z	4369	Fuhesa Bella Vista	Av. Ricchieri 390, Bella Vista, San Miguel. De lunes a sábado de 8:00 a 14:00hs.	fuhesabellavista	True	True	False	False		95984		2025-08-29T19:22:54.154Z	2025-08-29T19:22:54.154Z	1	-34.5578693	-58.6927574	Avenida Teniente General Ricchieri	390			B1661	Bella Vista	San Miguel	Provincia de Buenos Aires	Argentina	182.0000
316		2025-08-29T19:32:04.185Z	2026-09-25T00:22:08.000Z	8944	Fuhesa Chacarita	Av. Córdoba 6429, Chacarita, CABA. De lunes a sábados de 8:00 a 14:00hs.	fuhesachacarita	True	True	False	False		95986		2025-08-29T19:32:04.179Z	2025-08-29T19:32:04.179Z	1	-34.5820755	-58.45001120000001	Avenida Córdoba	6429			C1426	Buenos Aires	Comuna 15	Ciudad Autónoma de Buenos Aires	Argentina	47.1756
317		2025-08-29T19:40:13.422Z	2026-09-25T00:32:44.000Z	8295	Fuhesa Morón	Machado 970, Morón. De lunes a sábados de 8:00 a 14:00hs.	fuhesamorón	True	True	False	False		95987		2025-08-29T19:40:13.416Z	2025-08-29T19:40:13.416Z	1	-34.6464867	-58.62188920000001	Gral. Machado	970			B1708EOG	Morón	Morón	Provincia de Buenos Aires	Argentina	241.2195
318		2025-08-29T19:45:34.180Z	2026-09-25T00:37:28.000Z	6310	Fuhesa Barrio Norte	Marcelo T de Alvear 2289 entre Azcuenaga y Uriburu, Barrio Norte, Caba. De lunes a sábados de 8:00 a 14:00hs.	fuhesabarrionorte	True	True	False	False		95988		2025-08-29T19:45:34.173Z	2025-08-29T19:45:34.173Z	1	-34.596667	-58.39995930000001	Marcelo Torcuato de Alvear	2289			C1122AAI	Buenos Aires	Comuna 2	Ciudad Autónoma de Buenos Aires	Argentina	53.2353
356		2026-03-12T17:18:30.807Z	2026-09-24T22:03:31.000Z	2005	Hospital Delicia Concepción Masvernat	Monseñor Tavella 2000, Concordia, Entre Ríos. (Sector Laboratorio acceso por consultorio externo). De lunes a viernes de 7:00 a 13:00 hs y sábados de 7:00 a 11:00 hs.	hemoterapia.hdcm	True	True	False	False		170815		2026-03-12T17:18:30.800Z	2026-03-12T17:18:30.800Z	1	-31.3720413	-58.0207618	Monseñor Tavella	2000			E3202	Concordia	Concordia	Entre Ríos	Argentina	81.6000
381		2026-05-13T22:24:10.169Z	2026-09-25T00:37:48.000Z	3555	Centro Regional de Hemoterapia Mendoza	Montecaseros y Garibaldi, Ciudad de Mendoza. De lunes a viernes de 8:00 a 14:30 hs	crhmendoza	True	True	False	False		195573		2026-05-13T22:24:10.163Z	2026-05-13T22:24:10.163Z	1	-32.891534	-68.83188539999999	Garibaldi	501			M5502BHE		Capital	Mendoza	Argentina	27.0492
460		2026-08-06T13:04:47.414Z	2026-09-24T15:00:01.000Z	154	Colecta: Esc 4-055 Presbitero Constantino Spagnolo	25/09/26 C. Nicolás Videla S/N, Junín, Mendoza. De 9:30 a 13:00 hs.	escpresbitconst240926	True	True	False	True	2026-09-25T03:00:00.000Z	235613		2026-08-06T13:04:47.405Z	2026-08-06T13:04:47.405Z	1	-33.1499375	-68.4798125	C. Nicolás Videla	S/N			M5573	Junín	Junín	Mendoza	Argentina	100.0000
461		2026-08-06T13:16:58.134Z	2026-09-24T15:00:01.000Z	120	Colecta: Instituto Nuestra Señora del Libano	29/09/26 Arjonilla 50, San Martín, Mendoza. De 9:30 a 13:00 hs.	instnuestralibano290926	True	True	False	True	2026-09-29T03:00:00.000Z	235617		2026-08-06T13:16:58.120Z	2026-08-06T13:16:58.120Z	1	-33.0886901	-68.4768176	Arjonilla	50			M5570	San Martín	San Martín	Mendoza	Argentina	31.2500
462		2026-08-06T13:25:33.672Z	2026-09-24T20:58:12.000Z	131	Colecta: Esc 4-071 Julio Fernandez Pelaez	30/09/26 Las Camelias 1866, Maipú, Mendoza. De 9:00 a 12:30hs.	escfernandezpelaez300926	True	True	False	True	2026-09-30T03:00:00.000Z	235623		2026-08-06T13:25:33.654Z	2026-08-06T13:25:33.654Z	1	-32.9672834	-68.7605149	Las Camelias	1866			M5513	Maipú	Maipú	Mendoza	Argentina	54.1667
463		2026-08-12T16:59:25.536Z	2026-09-24T15:00:01.000Z	99	Colecta: Escuela María Mazzarello San Justo	30/09/26 Av. Don Bosco 4654, Morón, Provincia de Buenos Aires. De 8:00 a 13:00 hs.	escmazzarello	True	True	False	True	2026-09-30T03:00:00.000Z	237682		2026-08-12T16:59:25.530Z	2026-08-12T16:59:25.530Z	1	-34.67226369999999	-58.6070444	Avenida Don Bosco	4654			B1708	Morón	La Matanza	Provincia de Buenos Aires	Argentina	25.0000
468		2026-08-25T16:04:39.746Z	2026-09-24T15:00:01.000Z	65	Colecta: Espacio Cultural Marcó del Pont	29/09/26 Gral. José Gervasio Artigas 202, Cdad. Autónoma de Buenos Aires. De 11:00 a 16:00 hs.	espcultamarcopont29026	True	True	False	True	2026-09-29T03:00:00.000Z	242532		2026-08-25T16:04:39.735Z	2026-08-25T16:04:39.735Z	1	-34.6273753	-58.4653204	General José Gervasio Artigas	202			C1406	Buenos Aires	Comuna 7	Ciudad Autónoma de Buenos Aires	Argentina	4.4444
476		2026-09-08T17:39:55.226Z	2026-09-24T15:00:01.000Z	35	Colecta: Barrio Haras Santa Maria	03/10/26 Old Man, Panamericana Ramal Escobar 704 km. 54, Belén de Escobar, Provincia de Buenos Aires 10:00 a 15:00 hs.	harasantamaria031026	True	True	False	True	2026-10-03T03:00:00.000Z	249150		2026-09-08T17:39:55.213Z	2026-09-08T17:39:55.213Z	1	-34.3408125	-58.85093749999999	Old Man	Panamericana Ramal Escobar 704 km.54			B1630	Belén de Escobar	Escobar	Provincia de Buenos Aires	Argentina	2.2727
493		2026-09-22T18:55:51.236Z	2026-09-24T18:13:08.000Z	44	Colecta: Club Sarmiento Dolores	08/10/26 Sarmiento 666, Dolores, Provincia de Buenos Aires. De 8:00 a 14:00 hs.	clubsarmdolores81026	True	True	False	True	2026-10-08T03:00:00.000Z	255331		2026-09-22T18:55:51.228Z	2026-09-22T18:55:51.228Z	1	-36.3160029	-57.6708272	Sarmiento	666			B7100	Dolores	Dolores	Provincia de Buenos Aires	Argentina	61.6667
